cpu,mem,disk
18.86,22.47,0.4
19.19,24.65,1.12
35.46,31.04,0.08
15.27,32.2,4.72
16.5,34.06,0.8
37.13,40.46,4.08
21.59,41.11,0.32
13.12,42.4,0.08
38.07,48.85,0.08
