avgcpu,node_count,instance_type,job_input,engine_type,data_size,elapsed_time,name
67.54656578947369,10,c4.xlarge,pagerank,hadoop,huge,755.755,10_c4.xlarge_pagerank_hadoop_huge_1
80.06129387755102,10,c4.xlarge,pagerank,spark,bigdata,858.360,10_c4.xlarge_pagerank_spark_bigdata_1
71.81440845070424,10,c4.xlarge,pagerank,spark,huge,352.465,10_c4.xlarge_pagerank_spark_huge_1
89.77879007039625,10,c4.xlarge,regression,spark1.5,bigdata,4588.511158464,10_c4.xlarge_regression_spark1.5_bigdata_1
83.68708936170212,10,c4.xlarge,regression,spark1.5,huge,1176.481440977,10_c4.xlarge_regression_spark1.5_huge_1
39.61344938592488,10,c4.xlarge,terasort,hadoop,bigdata,891.651,10_c4.xlarge_terasort_hadoop_bigdata_1
35.495836888097436,10,c4.xlarge,terasort,hadoop,huge,539.315,10_c4.xlarge_terasort_hadoop_huge_1
61.44733871425274,10,c4.xlarge,wordcount,hadoop,bigdata,859.029,10_c4.xlarge_wordcount_hadoop_bigdata_1
56.56843893260583,10,c4.xlarge,wordcount,hadoop,huge,464.002,10_c4.xlarge_wordcount_hadoop_huge_1
40.763397966683,10,m4.2xlarge,join,spark,bigdata,405.978,10_m4.2xlarge_join_spark_bigdata_1
30.418333333333333,10,m4.2xlarge,join,spark,huge,374.116,10_m4.2xlarge_join_spark_huge_1
90.78056122448979,10,m4.2xlarge,kmeans,spark1.5,bigdata,982.5674415380017,10_m4.2xlarge_kmeans_spark1.5_bigdata_1
65.46258333333333,10,m4.2xlarge,kmeans,spark1.5,huge,182.2507591879994,10_m4.2xlarge_kmeans_spark1.5_huge_1
3.782316818774446,10,m4.2xlarge,lr,spark,bigdata,1621.4350921779987,10_m4.2xlarge_lr_spark_bigdata_1
3.085029411764706,10,m4.2xlarge,lr,spark,huge,2208.313,10_m4.2xlarge_lr_spark_huge_1
90.58502255639098,10,m4.2xlarge,naive-bayes,spark1.5,bigdata,666.902990818,10_m4.2xlarge_naive-bayes_spark1.5_bigdata_1
87.169875,10,m4.2xlarge,naive-bayes,spark1.5,huge,362.19938055600005,10_m4.2xlarge_naive-bayes_spark1.5_huge_1
65.0843117415206,10,m4.2xlarge,pagerank,hadoop,bigdata,873.651,10_m4.2xlarge_pagerank_hadoop_bigdata_1
61.10000746268658,10,m4.2xlarge,pagerank,hadoop,huge,667.444,10_m4.2xlarge_pagerank_hadoop_huge_1
53.54565765765766,10,m4.2xlarge,pagerank,spark,bigdata,332.134,10_m4.2xlarge_pagerank_spark_bigdata_1
44.14944186046512,10,m4.2xlarge,pagerank,spark,huge,209.852,10_m4.2xlarge_pagerank_spark_huge_1
78.59675592747558,10,m4.2xlarge,regression,spark1.5,bigdata,3587.340274387,10_m4.2xlarge_regression_spark1.5_bigdata_1
64.0046111111111,10,m4.2xlarge,regression,spark1.5,huge,180.94021814300015,10_m4.2xlarge_regression_spark1.5_huge_1
33.08030602799185,10,m4.2xlarge,terasort,hadoop,bigdata,601.952,10_m4.2xlarge_terasort_hadoop_bigdata_1
27.70621001221001,10,m4.2xlarge,terasort,hadoop,huge,447.409,10_m4.2xlarge_terasort_hadoop_huge_1
54.5674988034473,10,m4.2xlarge,wordcount,hadoop,bigdata,542.387,10_m4.2xlarge_wordcount_hadoop_bigdata_1
49.16872298758745,10,m4.2xlarge,wordcount,hadoop,huge,360.580,10_m4.2xlarge_wordcount_hadoop_huge_1
69.35194411168119,10,m4.large,join,spark,bigdata,838.798,10_m4.large_join_spark_bigdata_1
57.666129407713505,10,m4.large,join,spark,huge,601.230,10_m4.large_join_spark_huge_1
89.07642116477273,10,m4.large,kmeans,spark1.5,bigdata,7040.141403144997,10_m4.large_kmeans_spark1.5_bigdata_1
87.6579430523918,10,m4.large,kmeans,spark1.5,huge,2197.3765887209993,10_m4.large_kmeans_spark1.5_huge_1
20.033798095238094,10,m4.large,lr,spark,bigdata,3802.788,10_m4.large_lr_spark_bigdata_1
20.508522648083623,10,m4.large,lr,spark,huge,1427.642,10_m4.large_lr_spark_huge_1
88.94070485436893,10,m4.large,naive-bayes,spark1.5,bigdata,2576.563292679999,10_m4.large_naive-bayes_spark1.5_bigdata_1
88.40862068965517,10,m4.large,naive-bayes,spark1.5,huge,1307.1991916760007,10_m4.large_naive-bayes_spark1.5_huge_1
69.03432124999999,10,m4.large,pagerank,hadoop,bigdata,2600.612,10_m4.large_pagerank_hadoop_bigdata_1
