instance,0%,10%,50,100%
a1.medium,1.2,1.9,3.2,4.2
a1.large,2.4,3.8,6.4,8.5
a1.xlarge,4.8,7.6,12.7,17.0
a1.2xlarge,9.5,15.2,25.4,34.0
a1.4xlarge,19.0,30.3,50.9,67.9
a1.metal,19.0,30.3,50.9,67.9
c1.medium,2.9,4.8,7.9,10.3
c1.xlarge,11.6,19.3,31.6,41.2
cr1.8xlarge,122.5,198.4,306.5,415.4
cc2.8xlarge,85.8,143.3,233.1,305.3
c3.large,4.4,7.4,11.9,15.7
c3.xlarge,8.9,14.8,23.9,31.4
c3.2xlarge,17.7,29.5,47.8,62.8
c3.4xlarge,35.5,59.1,95.6,125.6
c3.8xlarge,71.0,118.2,191.1,251.2
c4.large,5.1,8.5,13.8,18.0
c4.xlarge,10.2,16.9,27.5,36.1
c4.2xlarge,20.3,33.9,55.0,72.1
c4.4xlarge,40.6,67.8,110.1,144.3
c4.8xlarge,89.9,150.3,244.7,320.2
c5.large,4.9,7.8,13.3,18.0
c5.xlarge,9.7,15.6,26.6,35.9
c5.2xlarge,19.4,31.3,53.1,71.9
c5.4xlarge,38.8,62.5,106.2,143.7
c5.9xlarge,87.3,140.7,239.0,323.4
c5.12xlarge,95.2,168.9,341.3,466.6
c5.18xlarge,174.7,281.4,478.0,646.8
c5.24xlarge,190.5,337.8,682.7,933.2
c5.metal,190.5,337.8,682.7,933.2
c5a.large,2.6,4.2,7.2,9.5
c5a.xlarge,5.3,8.4,14.3,19.0
c5a.2xlarge,10.6,16.9,28.6,38.0
c5a.4xlarge,21.2,33.8,57.2,76.1
c5a.8xlarge,42.3,67.6,114.5,152.1
c5a.12xlarge,63.5,101.4,171.7,228.2
c5a.16xlarge,84.6,135.1,229.0,304.3
c5a.24xlarge,126.9,202.7,343.4,456.4
c5ad.large,2.6,4.2,7.2,9.5
c5ad.xlarge,5.3,8.4,14.3,19.0
c5ad.2xlarge,10.6,16.9,28.6,38.0
c5ad.4xlarge,21.2,33.8,57.2,76.1
c5ad.8xlarge,42.3,67.6,114.5,152.1
c5ad.12xlarge,63.5,101.4,171.7,228.2
c5ad.16xlarge,84.6,135.1,229.0,304.3
c5ad.24xlarge,126.9,202.7,343.4,456.4
c5d.large,4.9,7.8,13.3,18.0
c5d.xlarge,9.7,15.6,26.6,35.9
c5d.2xlarge,19.4,31.3,53.1,71.9
c5d.4xlarge,38.8,62.5,106.2,143.7
c5d.9xlarge,87.3,140.7,239.0,323.4
c5d.12xlarge,95.2,168.9,341.3,466.6
