true,predicted,name,avgcpu,node_count,instance_type,job_input,engine_type,data_size
4427.794,4139.281631662043,10_c4.xlarge_lr_spark_bigdata_1,10.09536973974339,10,c4.xlarge,lr,spark,bigdata
2128.452,2061.6069413328178,10_c4.xlarge_lr_spark_huge_1,8.31803997757034,10,c4.xlarge,lr,spark,huge
1179.4749360420028,1300.6364963852147,10_c4.xlarge_naive-bayes_spark1.5_bigdata_1,89.7758686440678,10,c4.xlarge,naive-bayes,spark1.5,bigdata
586.1606133369996,318.2083158903178,10_c4.xlarge_naive-bayes_spark1.5_huge_1,90.03474358974358,10,c4.xlarge,naive-bayes,spark1.5,huge
1260.057,1389.4998561452433,10_c4.xlarge_pagerank_hadoop_bigdata_1,68.7157315270936,10,c4.xlarge,pagerank,hadoop,bigdata
755.755,733.5363758622763,10_c4.xlarge_pagerank_hadoop_huge_1,67.54656578947369,10,c4.xlarge,pagerank,hadoop,huge
858.36,632.0381517072311,10_c4.xlarge_pagerank_spark_bigdata_1,80.06129387755102,10,c4.xlarge,pagerank,spark,bigdata
352.465,110.1465754872527,10_c4.xlarge_pagerank_spark_huge_1,71.81440845070424,10,c4.xlarge,pagerank,spark,huge
4588.511158464,4544.47723567007,10_c4.xlarge_regression_spark1.5_bigdata_1,89.77879007039625,10,c4.xlarge,regression,spark1.5,bigdata
1176.481440977,1345.7175263100887,10_c4.xlarge_regression_spark1.5_huge_1,83.68708936170212,10,c4.xlarge,regression,spark1.5,huge
891.651,963.593440601353,10_c4.xlarge_terasort_hadoop_bigdata_1,39.61344938592488,10,c4.xlarge,terasort,hadoop,bigdata
539.315,586.3409992396071,10_c4.xlarge_terasort_hadoop_huge_1,35.49583688809744,10,c4.xlarge,terasort,hadoop,huge
859.029,950.5422336534931,10_c4.xlarge_wordcount_hadoop_bigdata_1,61.44733871425274,10,c4.xlarge,wordcount,hadoop,bigdata
464.002,537.0637405405,10_c4.xlarge_wordcount_hadoop_huge_1,56.56843893260583,10,c4.xlarge,wordcount,hadoop,huge
405.978,186.80375176592733,10_m4.2xlarge_join_spark_bigdata_1,40.763397966683,10,m4.2xlarge,join,spark,bigdata
374.116,123.57039289795459,10_m4.2xlarge_join_spark_huge_1,30.418333333333333,10,m4.2xlarge,join,spark,huge
982.5674415380016,1247.4581848020316,10_m4.2xlarge_kmeans_spark1.5_bigdata_1,90.7805612244898,10,m4.2xlarge,kmeans,spark1.5,bigdata
182.2507591879994,50.47347325837827,10_m4.2xlarge_kmeans_spark1.5_huge_1,65.46258333333333,10,m4.2xlarge,kmeans,spark1.5,huge
1621.4350921779987,2026.0814922098484,10_m4.2xlarge_lr_spark_bigdata_1,3.782316818774446,10,m4.2xlarge,lr,spark,bigdata
2208.313,2030.063839853543,10_m4.2xlarge_lr_spark_huge_1,3.085029411764706,10,m4.2xlarge,lr,spark,huge
666.902990818,618.4489496393555,10_m4.2xlarge_naive-bayes_spark1.5_bigdata_1,90.58502255639098,10,m4.2xlarge,naive-bayes,spark1.5,bigdata
