instance_type,scope3_hourly,slope,intercept,error,r_value,p_value,max_power
m6g.8xlarge.elasticsearch,19.3,1.1333870967741935,59.01451612903226,0.1294463617175649,0.9872054364861346,0.012794563513865433,168.2
m6g.12xlarge.elasticsearch,28.9,1.7,88.525,0.19365072899090752,0.9872712356401472,0.01272876435985282,252.3
c6g.large.elasticsearch,1.0,0.05596774193548387,2.7862903225806455,0.007221683011257737,0.9837550940369371,0.016244905963062935,8.1
c6g.xlarge.elasticsearch,2.1,0.11129032258064517,5.598387096774194,0.014198129759149527,0.9841108886442906,0.015889111355709362,16.2
c6g.2xlarge.elasticsearch,4.2,0.2238709677419355,11.120161290322583,0.02917494060335266,0.9834373690222586,0.01656263097774135,32.4
c6g.4xlarge.elasticsearch,8.4,0.4479032258064517,22.258870967741927,0.056938168172123806,0.9842215557981027,0.015778444201897335,64.9
c6g.8xlarge.elasticsearch,16.7,0.895967741935484,44.511290322580635,0.1147610397909593,0.9839869498697111,0.016013050130288864,129.8
c6g.12xlarge.elasticsearch,25.1,1.3438709677419354,66.77016129032258,0.17169801809361038,0.9840655364263174,0.015934463573682552,194.7
r6g.large.elasticsearch,1.5,0.10048387096774193,5.505645161290323,0.010341150132175377,0.9895741488223174,0.010425851177682579,15.3
r6g.xlarge.elasticsearch,3.1,0.20032258064516129,11.037096774193547,0.02096339905396882,0.9892254255833758,0.010774574416624218,30.6
r6g.2xlarge.elasticsearch,6.1,0.4019354838709677,21.997580645161293,0.04225906487365588,0.9891257862799054,0.01087421372009456,61.2
r6g.4xlarge.elasticsearch,12.2,0.8040322580645162,44.01370967741935,0.08343758220891731,0.9894018661397549,0.010598133860245103,122.5
r6g.8xlarge.elasticsearch,24.4,1.6082258064516128,88.02096774193551,0.16806068505323243,0.9892552962379442,0.010744703762055826,245.0
r6g.12xlarge.elasticsearch,36.6,2.412258064516129,132.0346774193548,0.2514980739836411,0.989304272185592,0.010695727814407972,367.5
r6gd.large.elasticsearch,1.7,0.10048387096774193,5.505645161290323,0.010341150132175377,0.9895741488223174,0.010425851177682579,15.3
r6gd.xlarge.elasticsearch,3.4,0.20032258064516129,11.037096774193547,0.02096339905396882,0.9892254255833758,0.010774574416624218,30.6
r6gd.2xlarge.elasticsearch,6.8,0.4019354838709677,21.997580645161293,0.04225906487365588,0.9891257862799054,0.01087421372009456,61.2
r6gd.4xlarge.elasticsearch,13.7,0.8040322580645162,44.01370967741935,0.08343758220891731,0.9894018661397549,0.010598133860245103,122.5
r6gd.8xlarge.elasticsearch,27.3,1.6082258064516128,88.02096774193551,0.16806068505323243,0.9892552962379442,0.010744703762055826,245.0
r6gd.12xlarge.elasticsearch,41.0,2.412258064516129,132.0346774193548,0.2514980739836411,0.989304272185592,0.010695727814407972,367.5
r6gd.16xlarge.elasticsearch,54.6,3.2169354838709676,175.9975806451613,0.33556515570792755,0.9892934287665194,0.010706571233480624,490.0
db.m6g.large,1.2,0.07080645161290322,3.6927419354838715,0.00804958294820037,0.9873211483794437,0.01267885162055627,10.5
db.m6g.xlarge,2.4,0.14096774193548386,7.411290322580646,0.016074909191503676,0.9872448393621447,0.012755160637855319,21.0
db.m6g.2xlarge,4.8,0.2832258064516129,14.745967741935484,0.03275395060014523,0.9868884398538432,0.013111560146156779,42.0
db.m6g.4xlarge,9.6,0.5666129032258064,29.510483870967743,0.06420504638476263,0.9874021115205649,0.012597888479435103,84.1
db.m6g.8xlarge,19.3,1.1333870967741935,59.01451612903226,0.1294463617175649,0.9872054364861346,0.012794563513865433,168.2
db.m6g.12xlarge,28.9,1.7,88.525,0.19365072899090752,0.9872712356401472,0.01272876435985282,252.3
db.m6g.16xlarge,38.6,2.267258064516129,117.98467741935482,0.25846021829923455,0.9872526753421602,0.012747324657839787,336.4
db.m5.large,1.0,0.11790322580645163,5.008870967741936,0.013137737860355122,0.987810328893786,0.012189671106214045,16.3
db.m5.xlarge,1.9,0.2362903225806452,10.073387096774194,0.02596861849852922,0.9881362137480818,0.011863786251918194,32.7
db.m5.2xlarge,3.9,0.47354838709677427,20.03306451612903,0.05162632134048362,0.9883223865328847,0.011677613467115265,65.4
db.m5.4xlarge,7.8,0.9449999999999998,40.175,0.10331306166055415,0.988257928140206,0.011742071859794034,130.7
db.m5.8xlarge,15.5,1.8912903225806448,80.27338709677421,0.20743774375416527,0.9881829914411014,0.011817008558898558,261.4
db.m5.12xlarge,23.3,2.837258064516129,120.43467741935484,0.3104394501110033,0.9882390726850864,0.011760927314913627,392.2
db.m5.16xlarge,31.1,3.782741935483871,160.56532258064516,0.41345133573847903,0.9882635442190877,0.011736455780912314,522.9
db.m5.24xlarge,46.6,5.673548387096773,240.88306451612908,0.6211896388203324,0.9882235588374615,0.011776441162538513,784.3
db.m4.large,1.2,0.09435483870967742,5.150806451612904,0.012539998439955635,0.982791526014879,0.01720847398512104,14.2
db.m4.xlarge,2.3,0.18870967741935485,10.301612903225807,0.02507999687991127,0.982791526014879,0.01720847398512104,28.4
db.m4.2xlarge,4.6,0.3796774193548386,20.512903225806458,0.05048103671318475,0.9827776072997816,0.017222392700218414,56.9
db.m4.4xlarge,9.2,0.7580645161290323,41.10241935483871,0.1003880672583486,0.9829113695074413,0.017088630492558706,113.8
db.m4.10xlarge,34.5,2.2095161290322576,118.7443548387097,0.3025384604165516,0.9817627942839254,0.018237205716074567,329.9
db.m4.16xlarge,36.9,3.033225806451613,164.2959677419355,0.402983128586146,0.9828031956888434,0.017196804311156548,455.1
db.m3.medium,1.3,0.07225806451612903,3.809677419354839,0.00970694420860073,0.982427792774146,0.01757220722585395,10.7
db.m3.large,2.6,0.14387096774193547,7.64516129032258,0.021150567700368418,0.9790641709943004,0.02093582900569957,21.3
db.m3.xlarge,5.1,0.2880645161290323,15.227419354838709,0.04143278096132814,0.979933069252559,0.02006693074744104,42.6
db.m3.2xlarge,10.2,0.5756451612903226,30.499193548387087,0.0832553007877648,0.9797165447204929,0.020283455279507145,85.2
db.m1.small,1.1,0.055161290322580644,2.793548387096774,0.008399494558897748,0.977589857558343,0.022410142441656955,8.0
db.m1.medium,1.1,0.061451612903225795,3.341935483870968,0.008645973722056822,0.9807737733963575,0.019226226603642482,9.2
db.m1.large,2.3,0.12403225806451611,6.588709677419357,0.01748085023303867,0.9807094010096606,0.019290598990339355,18.4
db.m1.xlarge,4.5,0.24806451612903221,13.177419354838714,0.03496170046607734,0.9807094010096606,0.019290598990339355,36.8
db.z1d.12xlarge,46.6,5.814516129032258,255.9193548387097,1.039528954599423,0.969492233504583,0.03050776649541698,793.0
db.z1d.large,1.9,0.24177419354838708,10.679032258064519,0.04343189317118109,0.9692125923885483,0.03078740761145172,33.0
db.z1d.xlarge,3.9,0.48451612903225805,21.34435483870968,0.08651917948243765,0.9695617520877782,0.030438247912221824,66.1
db.z1d.2xlarge,7.8,0.9696774193548385,42.637903225806454,0.17351834867155275,0.9694391933073176,0.03056080669268235,132.2
db.z1d.3xlarge,11.6,1.4541935483870967,63.98225806451614,0.2600373682423631,0.9694800874323907,0.03051991256760932,198.3
db.z1d.6xlarge,23.3,2.907258064516129,127.95967741935485,0.5197644772997115,0.969492233504583,0.03050776649541698,396.5
db.x1e.xlarge,6.1,0.6038709677419354,35.370161290322585,0.06614658500328077,0.9882132271007185,0.011786772899281543,95.1
db.x1e.2xlarge,12.1,1.2088709677419356,70.74516129032257,0.13224247547781146,0.9882437033309246,0.011756296669075406,190.3
