avgcpu,job_input,engine_type,data_size,node_count,instance_type,elapsed_time,name
67.54656578947369,pagerank,hadoop,huge,10,c4.xlarge,755.755,10_c4.xlarge_pagerank_hadoop_huge_1
80.06129387755102,pagerank,spark,bigdata,10,c4.xlarge,858.360,10_c4.xlarge_pagerank_spark_bigdata_1
71.81440845070424,pagerank,spark,huge,10,c4.xlarge,352.465,10_c4.xlarge_pagerank_spark_huge_1
89.77879007039625,regression,spark1.5,bigdata,10,c4.xlarge,4588.511158464,10_c4.xlarge_regression_spark1.5_bigdata_1
83.68708936170212,regression,spark1.5,huge,10,c4.xlarge,1176.481440977,10_c4.xlarge_regression_spark1.5_huge_1
39.61344938592488,terasort,hadoop,bigdata,10,c4.xlarge,891.651,10_c4.xlarge_terasort_hadoop_bigdata_1
35.495836888097436,terasort,hadoop,huge,10,c4.xlarge,539.315,10_c4.xlarge_terasort_hadoop_huge_1
61.44733871425274,wordcount,hadoop,bigdata,10,c4.xlarge,859.029,10_c4.xlarge_wordcount_hadoop_bigdata_1
56.56843893260583,wordcount,hadoop,huge,10,c4.xlarge,464.002,10_c4.xlarge_wordcount_hadoop_huge_1
40.763397966683,join,spark,bigdata,10,m4.2xlarge,405.978,10_m4.2xlarge_join_spark_bigdata_1
30.418333333333333,join,spark,huge,10,m4.2xlarge,374.116,10_m4.2xlarge_join_spark_huge_1
90.78056122448979,kmeans,spark1.5,bigdata,10,m4.2xlarge,982.5674415380017,10_m4.2xlarge_kmeans_spark1.5_bigdata_1
65.46258333333333,kmeans,spark1.5,huge,10,m4.2xlarge,182.2507591879994,10_m4.2xlarge_kmeans_spark1.5_huge_1
3.782316818774446,lr,spark,bigdata,10,m4.2xlarge,1621.4350921779987,10_m4.2xlarge_lr_spark_bigdata_1
3.085029411764706,lr,spark,huge,10,m4.2xlarge,2208.313,10_m4.2xlarge_lr_spark_huge_1
90.58502255639098,naive-bayes,spark1.5,bigdata,10,m4.2xlarge,666.902990818,10_m4.2xlarge_naive-bayes_spark1.5_bigdata_1
87.169875,naive-bayes,spark1.5,huge,10,m4.2xlarge,362.19938055600005,10_m4.2xlarge_naive-bayes_spark1.5_huge_1
65.0843117415206,pagerank,hadoop,bigdata,10,m4.2xlarge,873.651,10_m4.2xlarge_pagerank_hadoop_bigdata_1
61.10000746268658,pagerank,hadoop,huge,10,m4.2xlarge,667.444,10_m4.2xlarge_pagerank_hadoop_huge_1
53.54565765765766,pagerank,spark,bigdata,10,m4.2xlarge,332.134,10_m4.2xlarge_pagerank_spark_bigdata_1
44.14944186046512,pagerank,spark,huge,10,m4.2xlarge,209.852,10_m4.2xlarge_pagerank_spark_huge_1
78.59675592747558,regression,spark1.5,bigdata,10,m4.2xlarge,3587.340274387,10_m4.2xlarge_regression_spark1.5_bigdata_1
64.0046111111111,regression,spark1.5,huge,10,m4.2xlarge,180.94021814300015,10_m4.2xlarge_regression_spark1.5_huge_1
33.08030602799185,terasort,hadoop,bigdata,10,m4.2xlarge,601.952,10_m4.2xlarge_terasort_hadoop_bigdata_1
27.70621001221001,terasort,hadoop,huge,10,m4.2xlarge,447.409,10_m4.2xlarge_terasort_hadoop_huge_1
54.5674988034473,wordcount,hadoop,bigdata,10,m4.2xlarge,542.387,10_m4.2xlarge_wordcount_hadoop_bigdata_1
