cpu,mem,disk
16.03,32.34,3.12
16.6,34.22,2.16
39.61,40.75,0.32
54.3,47.01,0.0
93.4,47.12,0.08
93.13,47.12,2.72
96.05,47.15,4.0
95.46,47.15,100.0
94.58,47.15,100.0
95.27,47.15,100.0
95.72,47.15,100.0
95.99,47.15,100.0
74.84,47.15,100.0
94.21,47.15,97.6
95.92,47.15,0.0
95.63,47.15,0.0
95.4,47.15,0.0
94.89,47.16,0.0
95.26,47.16,0.0
94.11,47.15,3.04
95.42,47.15,0.0
95.72,47.15,0.0
96.04,47.15,0.0
93.26,47.15,0.0
95.33,47.15,0.0
95.85,47.17,0.0
94.73,47.17,0.0
95.42,47.17,0.0
93.93,47.18,0.0
96.2,47.18,0.0
95.71,47.18,0.0
96.05,47.18,0.0
94.76,47.2,0.0
96.19,47.2,0.0
95.54,47.2,0.0
95.9,47.2,0.0
95.74,47.21,0.0
95.16,47.21,0.0
95.64,47.21,0.08
95.51,47.22,3.28
95.96,47.22,0.0
95.81,47.23,0.0
96.09,47.23,0.08
94.79,47.23,0.08
96.15,47.23,0.0
95.48,47.24,0.0
95.05,47.24,0.0
95.17,47.24,0.0
95.67,47.24,0.0
95.24,47.24,0.0
95.69,47.25,0.0
96.08,47.25,0.08
94.77,47.25,0.0
96.15,47.25,0.0
95.61,47.25,0.0
96.25,47.26,0.0
95.49,47.26,0.0
95.35,47.26,0.0
94.86,47.26,0.0
96.11,47.26,0.08
93.23,47.26,0.08
96.12,47.26,1.44
95.68,47.27,0.0
96.29,47.28,0.0
95.66,47.28,0.0
96.19,47.28,0.0
94.89,47.28,0.0
96.12,47.28,0.0
95.65,47.28,0.0
95.57,47.28,0.08
96.14,47.28,0.0
95.82,47.31,0.0
96.25,47.31,0.0
95.67,47.31,0.0
95.94,47.32,0.0
95.54,47.32,0.0
96.24,47.32,0.0
95.59,47.32,0.0
96.27,47.35,0.0
95.76,47.36,0.0
96.14,47.36,0.08
95.55,47.36,0.08
96.25,47.36,1.68
95.59,47.36,0.0
95.44,47.36,0.0
96.05,47.36,0.0
95.75,47.36,0.0
96.2,47.38,0.0
95.72,47.38,0.0
95.94,47.38,6.32
95.72,47.38,0.0
96.24,47.39,0.0
94.84,47.39,0.0
96.17,47.39,0.0
95.61,47.4,0.0
96.36,47.4,0.0
95.65,47.41,0.0
96.12,47.41,0.0
95.51,47.41,0.0
95.74,47.41,0.0
96.11,47.41,0.08
95.73,47.41,0.08
96.15,47.42,0.0
95.67,47.42,0.08
96.1,47.42,0.0
95.59,47.43,0.0
95.94,47.43,0.0
95.49,47.46,0.0
95.96,47.46,0.0
95.36,47.46,0.08
96.32,47.46,0.08
95.69,47.46,0.0
95.74,47.46,0.16
95.39,47.46,0.0
95.72,47.46,0.0
96.02,47.47,0.0
95.64,47.47,0.0
95.99,47.47,0.08
95.68,47.47,0.0
96.15,47.49,0.0
94.11,47.49,0.0
96.27,47.49,0.0
95.68,47.49,0.0
96.24,47.49,0.0
95.74,47.49,0.0
96.1,47.5,0.0
95.86,47.5,0.0
95.77,47.5,0.0
96.07,47.51,0.0
95.66,47.51,0.0
96.08,47.51,0.0
95.8,47.52,0.0
96.15,47.52,0.0
95.67,47.52,2.16
96.16,47.52,0.0
95.57,47.52,0.0
96.24,47.53,0.0
95.59,47.53,0.08
96.09,47.53,0.08
95.52,47.53,0.0
95.64,47.53,0.0
96.05,47.53,0.0
95.79,47.54,0.0
96.25,47.54,0.0
95.61,47.54,0.0
96.22,47.54,0.0
95.75,47.54,0.0
95.94,47.54,0.0
95.67,47.54,0.0
96.06,47.54,0.0
95.52,47.54,0.0
96.25,47.54,0.0
94.73,47.55,0.0
95.57,47.58,0.0
96.17,47.58,0.0
95.59,47.58,0.08
96.27,47.58,0.0
94.41,47.6,0.0
