cpu,mem,disk
95.87,40.21,0.08
96.12,40.21,0.08
95.67,40.21,0.0
95.72,40.22,0.08
96.22,40.22,0.0
95.74,40.22,0.0
96.08,40.22,0.0
95.8,40.22,0.08
96.27,40.22,0.0
95.62,40.22,0.0
96.09,40.22,0.0
95.74,40.22,0.0
96.17,40.22,0.0
95.54,40.22,0.08
96.09,40.23,0.08
95.77,40.23,0.08
95.75,40.23,0.0
96.37,40.24,0.96
95.74,40.26,0.48
96.04,40.26,0.0
95.72,40.26,0.0
96.3,40.26,0.0
95.56,40.26,0.0
96.17,40.26,0.08
95.49,40.26,0.0
96.21,40.26,0.0
95.64,40.27,0.0
96.2,40.27,0.0
95.63,40.27,0.0
95.71,40.27,0.0
96.17,40.27,0.0
95.73,40.27,0.0
96.14,40.27,0.0
95.68,40.27,0.0
96.12,40.27,0.0
95.74,40.28,0.72
95.37,40.29,0.08
96.15,40.29,0.08
95.74,40.3,0.0
95.74,40.3,0.0
96.07,40.3,0.0
95.7,40.3,0.0
95.99,40.3,1.68
95.52,40.3,0.0
96.2,40.3,0.0
95.55,40.3,0.0
96.2,40.3,0.0
95.67,40.32,0.08
96.07,40.34,0.0
95.59,40.34,0.0
96.02,40.36,0.0
95.65,40.36,2.8
95.66,40.36,0.0
96.04,40.36,0.0
95.64,40.36,0.0
96.17,40.38,0.0
95.44,40.39,0.0
96.09,40.4,0.08
95.59,40.41,0.0
96.17,40.41,0.08
95.54,40.41,0.0
96.35,40.41,0.0
95.67,40.41,0.0
96.11,40.41,0.08
95.6,40.41,0.0
96.14,40.48,0.08
95.87,40.48,0.0
96.26,40.48,0.08
95.67,40.48,0.08
96.42,40.49,0.0
95.67,40.51,0.08
96.22,40.51,0.64
95.97,40.51,0.0
95.48,40.51,0.0
95.76,40.51,0.0
96.37,40.51,0.0
95.87,40.51,0.0
96.32,40.5,0.0
95.69,40.51,0.0
96.25,40.51,0.08
95.72,40.51,0.0
96.2,40.52,0.0
95.94,40.52,0.0
96.22,40.52,0.0
95.79,40.52,0.0
96.19,40.52,0.0
12.08,29.97,0.0
0.05,29.94,2.48
